bitstring,energy,compression,loss_penalty,pairwise_penalty,num_pruned_blocks,pruned_blocks
0100000000,-0.2856414424466505,0.29768647403283094,0.027673571472904075,0.0,1,stages.3.blocks.2
0100000010,-0.2419412280949773,0.3026423154459057,0.03746091761277419,0.039128891299064314,2,stages.3.blocks.2; stages.0.blocks.2
0100000100,-0.22066774144372156,0.31681386195641736,0.0359636069884284,0.07681524127697938,2,stages.3.blocks.2; stages.1.blocks.1
1100000000,-0.20831620987322974,0.3728040702697514,0.032120842193407474,0.15193923189227612,2,stages.2.blocks.2; stages.3.blocks.2
0000001000,-0.20688166996762997,0.29768647403283094,0.10643334395192461,0.0,1,stages.3.blocks.0
0110000000,-0.20358741437640182,0.3728040702697514,0.03652066800479099,0.15226820157772053,2,stages.3.blocks.2; stages.2.blocks.0
0101000000,-0.20233193244728895,0.3728040702697514,0.03768880940594521,0.15235554210567917,2,stages.3.blocks.2; stages.2.blocks.5
0100100000,-0.20051076929590866,0.3728040702697514,0.03938327909607211,0.15248223556693258,2,stages.3.blocks.2; stages.2.blocks.3
0100010000,-0.19570529627334587,0.3728040702697514,0.043854448182314425,0.15281653950325305,2,stages.3.blocks.2; stages.2.blocks.7
0100000110,-0.16714339139788528,0.3217697033694922,0.04575095312829851,0.12576826827020676,3,stages.3.blocks.2; stages.1.blocks.1; stages.0.blocks.2
0000001010,-0.16166889527704165,0.3026423154459057,0.11622069009179473,0.04064145163797941,2,stages.3.blocks.0; stages.0.blocks.2
1100000010,-0.14518434902379762,0.37775991168282613,0.041908188333277585,0.21049976968909934,3,stages.2.blocks.2; stages.3.blocks.2; stages.0.blocks.2
0110000010,-0.14041310769712304,0.37775991168282613,0.04630801414466111,0.2108711852043904,3,stages.3.blocks.2; stages.2.blocks.0; stages.0.blocks.2
0101000010,-0.13914635651934537,0.37775991168282613,0.04747615554581532,0.21096979498101381,3,stages.3.blocks.2; stages.2.blocks.5; stages.0.blocks.2
0000001100,-0.13893642718216148,0.31681386195641736,0.11472337946744893,0.07978678305951889,2,stages.3.blocks.0; stages.1.blocks.1
0100100010,-0.13730884654533376,0.37775991168282613,0.04917062523594223,0.2111128352648986,3,stages.3.blocks.2; stages.2.blocks.3; stages.0.blocks.2
0100010010,-0.1324602394328351,0.37775991168282613,0.05364179432218454,0.21149027329115488,3,stages.3.blocks.2; stages.2.blocks.7; stages.0.blocks.2
1000001000,-0.12366766390889011,0.3728040702697514,0.110880614672428,0.1578280053775952,2,stages.2.blocks.2; stages.3.blocks.0
0010001000,-0.11893886841206218,0.3728040702697514,0.11528044048381153,0.1581569750630396,2,stages.2.blocks.0; stages.3.blocks.0
0001001000,-0.11768338648294932,0.3728040702697514,0.11644858188496574,0.15824431559099825,2,stages.2.blocks.5; stages.3.blocks.0
