method,mask,pruned_blocks,num_pruned_blocks,predicted_compression,actual_parameter_reduction,actual_accuracy,actual_macro_f1,accuracy_drop,f1_drop,selection_seconds,eval_seconds,total_seconds,n_eval_samples
"Quantum (QAOA, qiskit_algorithms + Aer sampler)",1100000100,stages.2.blocks.2; stages.3.blocks.2; stages.1.blocks.1,3,0.3919314581933378,0.22532264780584618,0.9516666666666667,0.9463077917532546,0.040000000000000036,0.04476093171573703,1.6595708000095328,86.06374219999998,87.72331300000951,600
Classical (greedy sensitivity ranking),1110000000,stages.2.blocks.2; stages.3.blocks.2; stages.2.blocks.0,3,0.4479216665066718,0.2575115974923956,0.945,0.9394025753898378,0.046666666666666745,0.05166614807915382,0.00034309999318793416,90.78516420000233,90.78550729999552,600
