row,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9
q0,-0.07461399931885535,0.15193923189227612,0.07561691669266563,0.07566079067972539,0.07572443292473471,0.0758923646617984,0.1578280053775952,0.03814659466365788,0.019431646497758893,0.028984387815158046
q1,0.0,-0.2856414424466505,0.15226820157772053,0.15235554210567917,0.15248223556693258,0.15281653950325305,0.8591391736935965,0.07681524127697938,0.039128891299064314,0.05814566014155497
q2,0.0,0.0,-0.07021417350747182,0.07582604284913154,0.07588968509414086,0.07605761683120454,0.1581569750630396,0.038229982779582165,0.01947409232760556,0.029026833645004708
q3,0.0,0.0,0.0,-0.0690460321063176,0.07593355908120063,0.0761014908182643,0.15824431559099825,0.038252122090262006,0.019485361576270347,0.0290381028936695
q4,0.0,0.0,0.0,0.0,-0.06735156241619071,0.07616513306327363,0.15837100905225165,0.03828423668775014,0.019501708398901686,0.02905444971630083
q5,0.0,0.0,0.0,0.0,0.0,-0.0628803933299484,0.15870531298857213,0.03836897694385665,0.01954484248883754,0.02909758380623669
q6,0.0,0.0,0.0,0.0,0.0,0.0,-0.20688166996762997,0.07978678305951889,0.04064145163797941,0.059658220480470064
q7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011841540274050414,0.009824135694163067,0.014644557133909615
q8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004571323052608908,0.007458014387274205
q9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947839769127388
