qubo_rank,mask,pruned_blocks,qubo_energy,predicted_compression,predicted_loss_penalty,pairwise_penalty,num_pruned_blocks,baseline_accuracy,baseline_macro_f1,baseline_validation_loss,actual_accuracy,actual_macro_f1,actual_validation_loss,accuracy_drop,f1_drop,loss_increase,pruned_parameter_count,total_trainable_params,actual_parameter_reduction,n_samples,eval_seconds,tradeoff_score,final_decision
1,0100000000,stages.3.blocks.2,-0.05240409004192746,0.29768647403283094,0.027673571472904075,0.0,1,0.9916666666666667,0.9910687234689917,0.08863729625940323,0.9716666666666667,0.9698697938135414,0.16404972811539967,0.020000000000000018,0.021198929655450227,0.07541243185599644,4763136,27831663,0.17114090523444467,600,64.38566809999975,0.9692914123217492,best_actual_f1_and_best_tradeoff
2,0100000100,stages.3.blocks.2; stages.1.blocks.1,-0.04925932187784789,0.31681386195641736,0.0359636069884284,0.0,2,0.9916666666666667,0.9910687234689917,0.08863729625940323,0.965,0.9629631111859672,0.19765858362118402,0.026666666666666727,0.02810561228302444,0.1090212873617808,5069184,27831663,0.1821373016768707,600,61.80109749999974,0.9587596456968629,
3,0100000010,stages.3.blocks.2; stages.0.blocks.2,-0.043949865242174466,0.3026423154459057,0.03746091761277419,0.0,2,0.9916666666666667,0.9910687234689917,0.08863729625940323,0.9633333333333334,0.9608259594584561,0.20738401889801025,0.02833333333333332,0.030242764010535605,0.11874672263860703,4842432,27831663,0.17399003430014226,600,63.449178400000164,0.9601653805969796,
4,0100000110,stages.3.blocks.2; stages.1.blocks.1; stages.0.blocks.2,-0.04080509707809489,0.3217697033694922,0.04575095312829851,0.0,3,0.9916666666666667,0.9910687234689917,0.08863729625940323,0.9266666666666666,0.9194669552954975,0.32296453992525737,0.06500000000000006,0.07160176817349417,0.23432724366585414,5148480,27831663,0.18498643074256826,600,55.69204499999978,0.9140245294531244,
5,1100000000,stages.2.blocks.2; stages.3.blocks.2,-0.016947171630150106,0.3728040702697514,0.032120842193407474,0.051216281079005554,2,0.9916666666666667,0.9910687234689917,0.08863729625940323,0.96,0.9573943082612046,0.195256983935833,0.03166666666666673,0.03367441520778702,0.10661968767642976,5965056,27831663,0.21432625136342015,600,66.85590769999908,0.9391932906937668,
