method,mask,pruned_blocks,num_pruned_blocks,predicted_compression,actual_parameter_reduction,actual_accuracy,actual_macro_f1,accuracy_drop,f1_drop,selection_seconds,eval_seconds,total_seconds
"Quantum (QAOA, simulated statevector)",1100000100,stages.2.blocks.2; stages.3.blocks.2; stages.1.blocks.1,3,0.3919314581933378,0.22532264780584618,0.9516666666666667,0.9463077917532546,0.040000000000000036,0.04476093171573703,14.883138900000631,59.551414999999906,74.43455390000054
Classical (greedy sensitivity ranking),1110000000,stages.2.blocks.2; stages.3.blocks.2; stages.2.blocks.0,3,0.4479216665066718,0.2575115974923956,0.945,0.9394025753898378,0.046666666666666745,0.05166614807915382,0.00016700000014679972,57.517457200001445,57.51762420000159
