row,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9
q0,-0.05406933674805761,0.0,0.07561691669266563,0.07566079067972539,0.07572443292473471,0.0758923646617984,0.0,0.0,0.0,0.0
q1,0.0,-0.2042241917986712,0.0,0.0,0.0,0.0,0.8591391736935965,0.0,0.0,0.0
q2,0.0,0.0,-0.049669510936674086,0.07582604284913154,0.07588968509414086,0.07605761683120454,0.0,0.0,0.0,0.0
q3,0.0,0.0,0.0,-0.048501369535519874,0.07593355908120063,0.0761014908182643,0.0,0.0,0.0,0.0
q4,0.0,0.0,0.0,0.0,-0.04680689984539297,0.07616513306327363,0.0,0.0,0.0,0.0
q5,0.0,0.0,0.0,0.0,0.0,-0.04233573075915066,0.0,0.0,0.0,0.0
q6,0.0,0.0,0.0,0.0,0.0,0.0,-0.1254644193196507,0.0,0.0,0.0
q7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006610199676949521,0.0,0.0
q8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005926745679084861,0.007458014387274205
q9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9961393995392147
